user_id,signup_at,signup_date,cohort_week,persona,onboarding_path,acquisition_channel,age_group
U0032,2026-01-15 08:00:00,2026-01-15,2026-01-12,explorer,self_serve,organic,adult_18_plus
U0033,2026-01-12 08:00:00,2026-01-12,2026-01-12,explorer,self_serve,referral,adult_18_plus
U0034,2026-02-02 08:00:00,2026-02-02,2026-02-02,maker,guided,referral,adult_18_plus
U0035,2026-01-11 08:00:00,2026-01-11,2026-01-05,explorer,guided,organic,adult_18_plus
U0036,2026-02-23 08:00:00,2026-02-23,2026-02-23,maker,guided,referral,adult_18_plus
U0037,2026-02-25 08:00:00,2026-02-25,2026-02-23,maker,self_serve,community,adult_18_plus
U0038,2026-01-30 08:00:00,2026-01-30,2026-01-26,explorer,self_serve,organic,adult_18_plus
U0039,2026-01-23 08:00:00,2026-01-23,2026-01-19,explorer,self_serve,referral,adult_18_plus
U0040,2026-02-01 08:00:00,2026-02-01,2026-01-26,maker,self_serve,organic,adult_18_plus
U0041,2026-02-22 08:00:00,2026-02-22,2026-02-16,maker,guided,community,adult_18_plus
U0042,2026-02-16 08:00:00,2026-02-16,2026-02-16,maker,guided,referral,adult_18_plus
U0043,2026-02-28 08:00:00,2026-02-28,2026-02-23,maker,guided,referral,adult_18_plus
U0044,2026-01-25 08:00:00,2026-01-25,2026-01-19,maker,guided,organic,adult_18_plus
U0045,2026-02-25 08:00:00,2026-02-25,2026-02-23,explorer,self_serve,organic,adult_18_plus
U0046,2026-01-21 08:00:00,2026-01-21,2026-01-19,explorer,guided,organic,adult_18_plus
U0047,2026-02-25 08:00:00,2026-02-25,2026-02-23,maker,guided,organic,adult_18_plus
U0048,2026-01-05 08:00:00,2026-01-05,2026-01-05,explorer,guided,organic,adult_18_plus
U0049,2026-02-02 08:00:00,2026-02-02,2026-02-02,explorer,guided,organic,adult_18_plus
U0050,2026-01-30 08:00:00,2026-01-30,2026-01-26,maker,self_serve,organic,adult_18_plus
U0051,2026-02-02 08:00:00,2026-02-02,2026-02-02,explorer,guided,referral,adult_18_plus
U0052,2026-01-15 08:00:00,2026-01-15,2026-01-12,explorer,guided,referral,adult_18_plus
U0053,2026-01-22 08:00:00,2026-01-22,2026-01-19,explorer,guided,referral,adult_18_plus
U0054,2026-01-30 08:00:00,2026-01-30,2026-01-26,explorer,guided,referral,adult_18_plus
U0055,2026-01-14 08:00:00,2026-01-14,2026-01-12,maker,self_serve,community,adult_18_plus
U0056,2026-01-26 08:00:00,2026-01-26,2026-01-26,explorer,guided,organic,adult_18_plus
U0057,2026-01-11 08:00:00,2026-01-11,2026-01-05,explorer,guided,community,adult_18_plus
U0058,2026-01-19 08:00:00,2026-01-19,2026-01-19,maker,self_serve,community,adult_18_plus
U0059,2026-02-03 08:00:00,2026-02-03,2026-02-02,explorer,guided,referral,adult_18_plus
U0060,2026-01-08 08:00:00,2026-01-08,2026-01-05,maker,self_serve,community,adult_18_plus
U0061,2026-01-14 08:00:00,2026-01-14,2026-01-12,maker,guided,referral,adult_18_plus
U0062,2026-02-21 08:00:00,2026-02-21,2026-02-16,maker,self_serve,community,adult_18_plus
U0063,2026-02-08 08:00:00,2026-02-08,2026-02-02,maker,guided,community,adult_18_plus
U0064,2026-01-27 08:00:00,2026-01-27,2026-01-26,maker,guided,organic,adult_18_plus
U0065,2026-01-17 08:00:00,2026-01-17,2026-01-12,explorer,self_serve,community,adult_18_plus
U0066,2026-03-01 08:00:00,2026-03-01,2026-02-23,explorer,guided,community,adult_18_plus
U0067,2026-01-09 08:00:00,2026-01-09,2026-01-05,explorer,guided,referral,adult_18_plus
U0068,2026-02-22 08:00:00,2026-02-22,2026-02-16,maker,guided,referral,adult_18_plus
U0069,2026-02-25 08:00:00,2026-02-25,2026-02-23,maker,guided,referral,adult_18_plus
U0070,2026-01-21 08:00:00,2026-01-21,2026-01-19,maker,guided,community,adult_18_plus
U0071,2026-01-26 08:00:00,2026-01-26,2026-01-26,maker,self_serve,organic,adult_18_plus
U0072,2026-02-05 08:00:00,2026-02-05,2026-02-02,explorer,guided,community,adult_18_plus
U0073,2026-02-27 08:00:00,2026-02-27,2026-02-23,explorer,guided,referral,adult_18_plus
U0074,2026-01-31 08:00:00,2026-01-31,2026-01-26,explorer,self_serve,community,adult_18_plus
U0075,2026-03-01 08:00:00,2026-03-01,2026-02-23,explorer,self_serve,referral,adult_18_plus
U0076,2026-02-27 08:00:00,2026-02-27,2026-02-23,explorer,self_serve,organic,adult_18_plus
U0077,2026-03-01 08:00:00,2026-03-01,2026-02-23,explorer,guided,organic,adult_18_plus
U0078,2026-02-11 08:00:00,2026-02-11,2026-02-09,maker,guided,community,adult_18_plus
U0079,2026-01-11 08:00:00,2026-01-11,2026-01-05,maker,guided,organic,adult_18_plus
U0080,2026-01-27 08:00:00,2026-01-27,2026-01-26,explorer,self_serve,community,adult_18_plus
U0081,2026-02-18 08:00:00,2026-02-18,2026-02-16,maker,self_serve,organic,adult_18_plus
U0082,2026-02-23 08:00:00,2026-02-23,2026-02-23,maker,guided,organic,adult_18_plus
U0083,2026-01-17 08:00:00,2026-01-17,2026-01-12,explorer,guided,community,adult_18_plus
U0084,2026-01-17 08:00:00,2026-01-17,2026-01-12,explorer,guided,organic,adult_18_plus
U0085,2026-01-31 08:00:00,2026-01-31,2026-01-26,explorer,self_serve,organic,adult_18_plus
U0086,2026-01-06 08:00:00,2026-01-06,2026-01-05,explorer,guided,referral,adult_18_plus
U0087,2026-01-19 08:00:00,2026-01-19,2026-01-19,maker,self_serve,organic,adult_18_plus
U0088,2026-02-06 08:00:00,2026-02-06,2026-02-02,maker,self_serve,community,adult_18_plus
U0089,2026-02-19 08:00:00,2026-02-19,2026-02-16,maker,guided,community,adult_18_plus
U0090,2026-01-26 08:00:00,2026-01-26,2026-01-26,maker,guided,community,adult_18_plus
U0091,2026-01-24 08:00:00,2026-01-24,2026-01-19,maker,guided,organic,adult_18_plus
U0092,2026-01-25 08:00:00,2026-01-25,2026-01-19,maker,self_serve,community,adult_18_plus
U0093,2026-01-29 08:00:00,2026-01-29,2026-01-26,maker,guided,organic,adult_18_plus
U0094,2026-02-21 08:00:00,2026-02-21,2026-02-16,maker,self_serve,referral,adult_18_plus
U0095,2026-01-29 08:00:00,2026-01-29,2026-01-26,explorer,self_serve,referral,adult_18_plus
U0096,2026-01-26 08:00:00,2026-01-26,2026-01-26,explorer,guided,organic,adult_18_plus
U0097,2026-02-24 08:00:00,2026-02-24,2026-02-23,explorer,guided,organic,adult_18_plus
U0098,2026-02-15 08:00:00,2026-02-15,2026-02-09,explorer,guided,referral,adult_18_plus
U0099,2026-02-17 08:00:00,2026-02-17,2026-02-16,explorer,guided,referral,adult_18_plus
U0100,2026-02-10 08:00:00,2026-02-10,2026-02-09,maker,guided,community,adult_18_plus
U0101,2026-02-25 08:00:00,2026-02-25,2026-02-23,maker,guided,organic,adult_18_plus
U0102,2026-01-25 08:00:00,2026-01-25,2026-01-19,explorer,self_serve,organic,adult_18_plus
U0103,2026-02-09 08:00:00,2026-02-09,2026-02-09,maker,self_serve,community,adult_18_plus
U0104,2026-02-19 08:00:00,2026-02-19,2026-02-16,explorer,self_serve,referral,adult_18_plus
U0105,2026-02-26 08:00:00,2026-02-26,2026-02-23,explorer,guided,organic,adult_18_plus
U0106,2026-01-26 08:00:00,2026-01-26,2026-01-26,explorer,self_serve,organic,adult_18_plus
U0107,2026-02-23 08:00:00,2026-02-23,2026-02-23,explorer,self_serve,referral,adult_18_plus
U0108,2026-02-15 08:00:00,2026-02-15,2026-02-09,explorer,guided,community,adult_18_plus
U0109,2026-02-13 08:00:00,2026-02-13,2026-02-09,explorer,guided,referral,adult_18_plus
U0110,2026-02-22 08:00:00,2026-02-22,2026-02-16,explorer,guided,organic,adult_18_plus
U0111,2026-01-16 08:00:00,2026-01-16,2026-01-12,maker,guided,referral,adult_18_plus
U0112,2026-01-25 08:00:00,2026-01-25,2026-01-19,maker,guided,community,adult_18_plus
U0113,2026-02-09 08:00:00,2026-02-09,2026-02-09,maker,guided,organic,adult_18_plus
U0114,2026-01-05 08:00:00,2026-01-05,2026-01-05,maker,guided,community,adult_18_plus
U0115,2026-02-23 08:00:00,2026-02-23,2026-02-23,maker,guided,organic,adult_18_plus
U0116,2026-01-14 08:00:00,2026-01-14,2026-01-12,explorer,guided,referral,adult_18_plus
U0117,2026-01-08 08:00:00,2026-01-08,2026-01-05,explorer,guided,organic,adult_18_plus
U0118,2026-01-13 08:00:00,2026-01-13,2026-01-12,explorer,guided,referral,adult_18_plus
U0119,2026-02-20 08:00:00,2026-02-20,2026-02-16,explorer,self_serve,community,adult_18_plus
U0120,2026-01-14 08:00:00,2026-01-14,2026-01-12,explorer,self_serve,organic,adult_18_plus
